,fluxes,fluxes,fluxes
rxn05313_c5,0.04207749079180323,0.04207749079181122,0.04183976308446787
rxn03893_c6,0.0007131831220243274,0.0007131831220243278,0.000713183122024321
rxn46480_c1,-0.16323472379312154,-0.16323472379312148,-0.16323472379312004
rxn02405_c6,0.028597286341854895,0.028597286341854888,0.028597286341854627
rxn03150_c6,0.0007131831220243275,0.0007131831220243278,0.0007131831220243212
rxn05029_c6,0.0007131831220243275,0.0007131831220243278,0.0007131831220243211
rxn00777_c3,-0.14997294808788997,-0.08174044813370042,-0.05152157162173909
rxn03538_c6,0.0007131831220243275,0.0007131831220243278,0.0007131831220243211
rxn01740_c3,-0.0014263662440486557,-0.0014263662440485623,-0.001426366244048446
rxn01213_c6,0.016438192537000428,0.01643819253700043,0.01643819253700028
rxn09043_c5,0.0007131831220243275,0.0007131831220243276,0.0007131831220243212
rxn00461_c6,0.014298643170927447,0.014298643170927444,0.014298643170927312
rxn06865_c6,-0.014298643170927446,-0.014298643170927444,-0.014298643170927315
rxn09341_c5,-0.05719457268370979,-0.057194572683709775,-0.05719457268370927
rxn03393_c6,0.0007131831220243273,0.0007131831220243279,0.0007131831220243209
rxn08353_c3,0.0007131831220243275,0.0007131831220243278,0.0007131831220243211
rxn01265_c6,-0.0021395493660725335,-0.002139549366070552,-0.002139549366074074
rxn09041_c5,0.0007131831220243275,0.0007131831220243276,0.0007131831220243212
rxn03439_c6,0.014298643170927447,0.014298643170927442,0.014298643170927315
rxn05687_c5,0.0007131831220243275,0.0007131831220243278,0.0007131831220243211
rxn09341_c1,-0.05719457268370979,-0.057194572683709775,-0.05719457268370926
rxn05295_c4,0.08520832989757991,0.08520832989757993,0.08520832989757914
rxn00974_c4,0.0007131831220243275,0.38895620461418395,0.3889562046141812
rxn02008_c4,0.014298643170927447,0.014298643170927444,0.014298643170927317
rxn03904_c4,0.014298643170927447,0.014298643170927446,0.014298643170927315
rxn08291_c2,0.3565332482085312,0.3565332482085313,0.35653324820852833
rxn00381_c1,-38.07226003140187,-42.76113263152307,-47.24486815882668
rxn10199_c4,0.014298643170927444,0.014298643170927444,0.014298643170927317
rxn00409_c4,0.24816992803316307,0.24816992803316304,0.2481699280331608
rxn02831_c5,0.0014263662440486549,0.0014263662440486518,0.0014263662440486427
rxn01258_c5,0.001426366244048655,0.0014263662440486507,0.001426366244048643
rxn05255_c4,0.0021395493660729802,0.002139549366073009,0.0021395493660730028
rxn05333_c2,0.07149321585463722,0.07149321585463721,0.0714932158546366
rxn01538_c5,0.0007131831220243275,0.0007131831220243278,0.0007131831220243212
rxn01513_c2,0.0028017468629023953,0.002801746862902395,0.00280174686290237
rxn05255_c5,0.0021395493660729802,0.0021395493660729434,0.002139549366072976
rxn02832_c5,-0.001426366244048655,-0.001426366244048652,-0.0014263662440486427
rxn08231_c4,-0.0331667903984577,-0.03316679039845768,-0.033166790398457394
rxn00478_c4,0.001426366244049224,0.001426366244046826,0.0014263662440446429
rxn03395_c5,0.0007131831220243275,0.0007131831220243278,0.0007131831220243212
