,id,WD-ABX_1.5,WD-ABX_4.0,WD-ABX_6.0,WD-ABX_12.5
513,rxn00726_c1,0.12584979453065628,0.0,0.10589331933670443,0.03985243038671281
514,rxn00184_c1,0.46307481549573637,0.23664507046934125,0.7672499847253882,-2.4442727490145066
515,rxn08851_c1,0.0,0.0,0.0,0.0
516,rxn05330_c1,0.24623146460173967,0.3409275011405016,0.2850669930907783,0.0
517,rxn02155_c1,0.0,0.0,0.0,0.0
518,rxn02187_c1,0.0,0.0,0.0,0.0
519,rxn00304_c1,0.0,0.0,0.0,0.0
520,rxn05170_c1,0.0,0.0,0.0,0.0
521,rxn02475_c1,0.0,0.0,0.0,0.0
522,rxn00575_c1,0.035306873780115156,0.0,0.019424569463350916,0.0
523,rxn05339_c1,-0.24623146460173967,-0.3409275011405016,-0.2850669930907783,0.0
524,rxn05460_c1,0.6164916085215294,0.6055094396806093,0.6459761872768163,0.15202046608417705
525,rxn03108_c1,0.0,0.0,0.0,0.0
526,rxn10313_c1,0.0,0.0,0.0,0.0
527,rxn01018_c1,0.22308739946241396,0.2186914824088057,0.23330683345064074,0.0
528,rxn05236_c1,0.0,0.0,0.0,0.0
529,rxn08813_c1,0.0,0.0,0.0,0.0
530,rxn00124_c1,0.0,0.0,0.0,0.0
531,rxn08793_c1,0.33401199267734993,0.0,0.32775770537220694,0.0
532,rxn00947_c1,1.967557286571557,1.9774599897942091,1.1371383197911502,0.15202046608417705
533,rxn00278_c1,0.0,0.0,0.0,0.0
534,rxn01476_c1,0.0,0.0,0.0,0.0
535,rxn00205_c1,0.0,0.0,0.0,0.0
536,rxn00440_c1,0.02004235706924603,0.01968532293242731,0.021000911001337594,0.0049422383386519015
537,rxn03893_c1,0.02004235706924603,0.019685322932427307,0.021000911001337594,0.0049422383386519015
538,rxn02789_c1,0.0,0.0,0.0,0.0
539,rxn01370_c1,0.21401537286291727,0.0,0.0,0.0
540,rxn00988_c1,0.0,0.0,0.0,0.0
541,rxn01506_c1,0.0,0.0,0.0,0.0
542,rxn00410_c1,0.3417697220201078,0.0,0.0,0.08427688506508192
543,rxn10257_c1,0.0,0.0,0.0,0.0
544,rxn12510_c1,0.040084714138483,0.039370645864854836,0.04200182200267566,0.009884476677303411
545,rxn03933_c1,0.0,0.0,0.0,0.0
546,rxn05342_c1,0.0,0.0,0.0,0.0
547,rxn00414_c1,0.0,0.0,0.0,0.0
548,rxn08123_c1,0.0,0.0,0.0,0.0
549,rxn09110_c1,0.0,0.0,0.0,0.0
550,rxn00159_c1,0.0,0.0,0.0,0.0
551,rxn05349_c1,0.0,0.0,0.0,0.0
552,rxn00303_c1,0.0,0.0,0.0,0.0
553,rxn07439_c1,0.0,0.0,0.0,0.0
554,rxn01073_c1,0.0,0.0,0.0,0.0
555,rxn00011_c1,0.0,0.0,0.0,0.0
556,rxn01986_c1,-0.028818595278759167,-0.028305221414890225,-0.030196885153865618,-0.014212736152807628
557,rxn02200_c1,0.0,0.0,0.0,0.0
558,rxn01069_c1,0.0,0.0,0.0,0.0
559,rxn10323_c1,0.0,0.0,0.0,0.0
560,rxn05528_c1,0.0,0.0,0.0,0.0
561,rxn00791_c1,-0.16161435065586918,-0.1587353559356086,-0.1693437844130054,-0.03985243038671281
562,rxn03150_c1,0.02004235706924603,0.01968532293242731,0.021000911001337594,0.0049422383386519015
563,rxn00065_c1,0.0,0.0,0.0,0.0
564,rxn00365_c1,0.0,0.0,0.0,0.0
565,rxn08783_c1,0.0,0.0,0.0,0.0
566,rxn00358_c1,0.0,0.0,0.0,0.0
567,rxn05181_c1,0.0,0.0,0.0,0.0
568,rxn04020_c1,-0.9673802360697461,-0.9501473444309361,-1.0136465572368902,-0.23854597911012482
569,rxn08975_c1,0.0,22.584831278431036,0.0,0.0
570,rxn01646_c1,0.0,0.0,0.0,0.0
571,rxn10296_c1,0.0,0.0,0.0,0.0
572,rxn00105_c1,0.04008471413849257,0.03937064586485825,0.04200182200268085,0.009884476677304299
573,rxn08981_c1,0.0,0.0,0.0,0.0
574,rxn03243_c1,0.0,0.0,0.0,0.0
575,rxn03446_c1,0.0,0.0,0.0,0.0
576,rxn01302_c1,0.0,0.0,5.340624769855939,0.0
577,rxn00223_c1,0.009567928689439273,0.0,0.0175705177590023,0.04795806632010598
578,rxn01122_c1,0.0,0.0,0.0,0.0
579,rxn00784_c1,0.17626982494458887,0.17621620275965216,0.17641432116779338,-0.014212736152807628
580,rxn00368_c1,0.0,0.0,0.0,0.0
581,rxn05393_c1,0.0,0.0,0.0,0.0
582,rxn01537_c1,0.0,0.0,0.0,0.0
583,rxn00328_c1,0.1989448923891806,0.19958334755564283,0.19723018793236569,0.0
584,rxn02285_c1,-0.009040936785698561,-0.00887988172365361,-0.00947333231062514,-0.002229401673926401
585,rxn05315_c1,-0.02004235706924603,-0.01968532293242731,-0.021000911001337594,-0.0049422383386519015
586,rxn00227_c1,0.0,0.0,0.0,0.0
